lines,path,appl_date,delete
"08/6/13/power-outage-dismissal_206/"">power outage dismissal</a>",08/6/13/power-outage-dismissal_206/,6/13/2008,FALSE
"09/1/28/unscheduled-leave_208/"">unscheduled leave</a>",09/1/28/unscheduled-leave_208/,1/28/2009,FALSE
"09/3/2/delayed-arrivalunscheduled-leave_211/"">delayed arrival/unscheduled leave</a>",09/3/2/delayed-arrivalunscheduled-leave_211/,3/2/2009,FALSE
"09/6/23/tuesday-june-23_214/"">tuesday, june 23</a>",09/6/23/tuesday-june-23_214/,6/23/2009,FALSE
"09/12/20/closed_217/"">closed</a>",09/12/20/closed_217/,12/21/2009,FALSE
"09/12/21/unscheduled-leave_220/"">unscheduled leave</a>",09/12/21/unscheduled-leave_220/,12/22/2009,FALSE
"09/12/31/unscheduled-leave_223/"">unscheduled leave</a>",09/12/31/unscheduled-leave_223/,12/31/2009,FALSE
"10/2/3/unscheduled-leave_225/"">unscheduled leave</a>",10/2/3/unscheduled-leave_225/,2/3/2010,FALSE
"10/2/4/unscheduled-leaveearly-dismissal_229/"">unscheduled leave/early dismissal</a>",10/2/4/unscheduled-leaveearly-dismissal_229/,2/5/2010,FALSE
"10/2/4/unscheduled-leave_227/"">unscheduled leave</a>",10/2/4/unscheduled-leave_227/,02/5/2010 (AM),TRUE
"10/2/7/closed_241/"">closed</a>",10/2/7/closed_241/,2/8/2010,FALSE
"10/2/8/closed_248/"">closed</a>",10/2/8/closed_248/,2/9/2010,FALSE
"10/2/9/closed_267/"">closed</a>",10/2/9/closed_267/,2/10/2010,FALSE
"10/2/10/closed_271/"">closed</a>",10/2/10/closed_271/,2/11/2010,FALSE
"10/2/11/delayed-arrivalunscheduled-leave_275/"">delayed arrival/unscheduled leave</a>",10/2/11/delayed-arrivalunscheduled-leave_275/,2/12/2010,FALSE
"10/2/15/delayed-arrivalunscheduled-leave_293/"">delayed arrival/unscheduled leave</a>",10/2/15/delayed-arrivalunscheduled-leave_293/,2/16/2010,FALSE
"10/2/16/open_296/"">open</a>",10/2/16/open_296/,2/17/2010,FALSE
"10/4/11/open-for-nuclear-summit-2010_300/"">open for nuclear summit 2010</a>",10/4/11/open-for-nuclear-summit-2010_300,4/12/2010,FALSE
"10/12/16/open_315/"">open</a>",10/12/16/open_315/,12/17/2010,FALSE
"10/12/16/open-with-option-for-unscheduled-leave-or-unscheduled-telework_309/"">open with option for unscheduled leave or unscheduled telework</a>",10/12/16/open-with-option-for-unscheduled-leave-or-unscheduled-telework_309/,12/16/2010,FALSE
"11/1/18/open---delayed-arrival-with-option-for-unscheduled-leave-or-unscheduled-telework_325/"">open - delayed arrival with option for unscheduled leave or unscheduled telework</a>",11/1/18/open---delayed-arrival-with-option-for-unscheduled-leave-or-unscheduled-telework_325/,1/18/2011,FALSE
"11/1/26/open---early-departure_329/"">open - early departure</a>",11/1/26/open---early-departure_329/,1/26/2011,FALSE
"11/1/27/open---delayed-arrival-with-option-for-unscheduled-leave-or-unscheduled-telework_335/"">open - delayed arrival with option for unscheduled leave or unscheduled telework</a>",11/1/27/open---delayed-arrival-with-option-for-unscheduled-leave-or-unscheduled-telework_335/,1/27/2011,FALSE
"11/1/31/open-with-option-for-unscheduled-leave-or-unscheduled-telework_338/"">open with option for unscheduled leave or unscheduled telework</a>",11/1/31/open-with-option-for-unscheduled-leave-or-unscheduled-telework_338/,2/1/2011,TRUE
"11/2/1/open-with-option-for-unscheduled-leave-or-unscheduled-telework_350/"">open with option for unscheduled leave or unscheduled telework</a>",11/2/1/open-with-option-for-unscheduled-leave-or-unscheduled-telework_350/,2/1/2011,FALSE
"11/2/1/open-with-option-for-unscheduled-leave-or-unscheduled-telework_345/"">open with option for unscheduled leave or unscheduled telework</a>",11/2/1/open-with-option-for-unscheduled-leave-or-unscheduled-telework_345/,2/2/2011,FALSE
"11/2/22/open-with-option-for-unscheduled-leave-or-unscheduled-telework_354/"">open with option for unscheduled leave or unscheduled telework</a>",11/2/22/open-with-option-for-unscheduled-leave-or-unscheduled-telework_354/,2/22/2011,FALSE
"11/8/23/early-dismissal_363/"">early dismissal</a>",11/8/23/early-dismissal_363/,8/23/2011,FALSE
"11/8/24/open_405/"">open</a>",11/8/24/open_405/,8/25/2011,FALSE
"11/8/24/open-with-option-for-unscheduled-leave-or-unscheduled-telework_396/"">open with option for unscheduled leave or unscheduled telework</a>",11/8/24/open-with-option-for-unscheduled-leave-or-unscheduled-telework_396/,8/24/2011,FALSE
"11/8/24/open-with-option-for-unscheduled-leave-or-unscheduled-telework_371/"">open with option for unscheduled leave or unscheduled telework</a>",11/8/24/open-with-option-for-unscheduled-leave-or-unscheduled-telework_371/,8/24/2011,TRUE
"11/8/28/open-with-option-for-unscheduled-leave-or-unscheduled-telework_408/"">open with option for unscheduled leave or unscheduled telework</a>",11/8/28/open-with-option-for-unscheduled-leave-or-unscheduled-telework_408/,8/29/2011,FALSE
"11/9/9/open-with-option-for-unscheduled-leave-or-unscheduled-telework_417/"">open with option for unscheduled leave or unscheduled telework</a>",11/9/9/open-with-option-for-unscheduled-leave-or-unscheduled-telework_417/,9/9/2011,FALSE
"12/1/22/open---delayed-arrival-with-option-for-unscheduled-leave-or-unscheduled-telework_420/"">open - delayed arrival with option for unscheduled leave or unscheduled telework</a>",12/1/22/open---delayed-arrival-with-option-for-unscheduled-leave-or-unscheduled-telework_420/,1/23/2012,FALSE
"12/2/8/open-with-option-for-unscheduled-leave-or-unscheduled-telework_428/"">open with option for unscheduled leave or unscheduled telework</a>",12/2/8/open-with-option-for-unscheduled-leave-or-unscheduled-telework_428/,2/8/2012,FALSE
"12/7/1/open-with-option-for-unscheduled-leave-or-unscheduled-telework_431/"">open with option for unscheduled leave or unscheduled telework</a>",12/7/1/open-with-option-for-unscheduled-leave-or-unscheduled-telework_431/,7/2/2012,FALSE
"12/7/2/open-with-option-for-unscheduled-leave-or-unscheduled-telework_438/"">open with option for unscheduled leave or unscheduled telework</a>",12/7/2/open-with-option-for-unscheduled-leave-or-unscheduled-telework_438/,7/3/2012,FALSE
"12/7/4/open-with-option-for-unscheduled-leave-or-unscheduled-telework_443/"">open with option for unscheduled leave or unscheduled telework</a>",12/7/4/open-with-option-for-unscheduled-leave-or-unscheduled-telework_443/,7/5/2012,FALSE
"12/7/5/open_450/"">open</a>",12/7/5/open_450/,7/6/2012,FALSE
"12/10/28/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_470/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",12/10/28/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_470/,10/29/2012,FALSE
"12/10/29/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_474/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",12/10/29/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_474/,10/30/2012,FALSE
"12/10/30/open-with-option-for-unscheduled-leave-or-unscheduled-telework_480/"">open with option for unscheduled leave or unscheduled telework</a>",12/10/30/open-with-option-for-unscheduled-leave-or-unscheduled-telework_480/,10/31/2012,FALSE
"12/10/31/open_484/"">open</a>",12/10/31/open_484/,11/1/2012,FALSE
"13/1/16/open-with-option-for-unscheduled-leave-or-unscheduled-telework_492/"">open with option for unscheduled leave or unscheduled telework</a>",13/1/16/open-with-option-for-unscheduled-leave-or-unscheduled-telework_492/,1/17/2013,FALSE
"13/1/24/open-with-option-for-unscheduled-leave-or-unscheduled-telework_498/"">open with option for unscheduled leave or unscheduled telework</a>",13/1/24/open-with-option-for-unscheduled-leave-or-unscheduled-telework_498/,1/24/2013,FALSE
"13/1/24/open-with-option-for-unscheduled-leave-or-unscheduled-telework_494/"">open with option for unscheduled leave or unscheduled telework</a>",13/1/24/open-with-option-for-unscheduled-leave-or-unscheduled-telework_494/,1/25/2013,FALSE
"13/1/27/open---delayed-arrival---employees-should-remain-off-the-roads-until-1000-am-federal-offices-will-open-at-1200-noon-employees-have-the-option-for-uns_500/"">open - delayed arrival - employees should remain off the roads until 10:00 am. federal offices will open at 12:00 noon. employees have the option for unscheduled leave or unscheduled telework.</a>",13/1/27/open---delayed-arrival---employees-should-remain-off-the-roads-until-1000-am-federal-offices-will-open-at-1200-noon-employees-have-the-option-for-uns_500/,1/28/2013,FALSE
"13/3/6/open_521/"">open</a>",13/3/6/open_521/,3/7/2013,FALSE
"13/3/6/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_513/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",13/3/6/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_513/,3/6/2013,FALSE
"13/6/13/open-with-option-for-unscheduled-leave-or-unscheduled-telework_527/"">open with option for unscheduled leave or unscheduled telework</a>",13/6/13/open-with-option-for-unscheduled-leave-or-unscheduled-telework_527/,6/13/2013,FALSE
"13/10/1/due-to-a-lapse-in-appropriations-federal-government-operations-vary-by-agency_531/"">due to a lapse in appropriations, federal government operations vary by agency.</a>",13/10/1/due-to-a-lapse-in-appropriations-federal-government-operations-vary-by-agency_531/,10/1/2013,FALSE
"13/10/17/open_543/"">open</a>",13/10/17/open_543/,10/17/2013,FALSE
"13/11/25/open-with-option-for-unscheduled-leave-or-unscheduled-telework_554/"">open with option for unscheduled leave or unscheduled telework</a>",13/11/25/open-with-option-for-unscheduled-leave-or-unscheduled-telework_554/,10/26/2013,FALSE
"13/12/9/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_559/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",13/12/9/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_559/,12/9/2013,FALSE
"13/12/10/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_565/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",13/12/10/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_565/,12/10/2013,FALSE
"14/1/2/open-with-option-for-unscheduled-leave-or-unscheduled-telework_572/"">open with option for unscheduled leave or unscheduled telework</a>",14/1/2/open-with-option-for-unscheduled-leave-or-unscheduled-telework_572/,1/3/2014,FALSE
"14/1/21/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_581/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",14/1/21/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_581/,1/21/2014,FALSE
"14/1/21/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_577/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",14/1/21/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_577/,1/22/2014,FALSE
"14/2/5/open-with-option-for-unscheduled-leave-or-unscheduled-telework_586/"">open with option for unscheduled leave or unscheduled telework</a>",14/2/5/open-with-option-for-unscheduled-leave-or-unscheduled-telework_586/,2/5/2014,FALSE
"14/2/12/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_590/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",14/2/12/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_590/,2/13/2014,FALSE
"14/2/13/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_596/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",14/2/13/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_596/,2/14/2014,FALSE
"14/2/26/open-with-option-for-unscheduled-leave-or-unscheduled-telework_601/"">open with option for unscheduled leave or unscheduled telework</a>",14/2/26/open-with-option-for-unscheduled-leave-or-unscheduled-telework_601/,2/16/2014,FALSE
"14/3/2/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_604/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",14/3/2/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_604/,3/3/2014,FALSE
"14/3/3/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_608/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",14/3/3/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_608/,3/4/2014,FALSE
"14/3/17/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_615/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",14/3/17/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_615/,3/17/2014,FALSE
"15/1/6/open-with-option-for-unscheduled-leave-or-unscheduled-telework_621/"">open with option for unscheduled leave or unscheduled telework</a>",15/1/6/open-with-option-for-unscheduled-leave-or-unscheduled-telework_621/,1/6/2015,FALSE
"15/1/11/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_625/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",15/1/11/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_625/,1/12/2015,FALSE
"15/1/14/open-with-option-for-unscheduled-leave-or-unscheduled-telework_629/"">open with option for unscheduled leave or unscheduled telework</a>",15/1/14/open-with-option-for-unscheduled-leave-or-unscheduled-telework_629/,1/14/2015,FALSE
"15/1/21/open-with-option-for-unscheduled-leave-or-unscheduled-telework_633/"">open with option for unscheduled leave or unscheduled telework</a>",15/1/21/open-with-option-for-unscheduled-leave-or-unscheduled-telework_633/,1/21/2015,FALSE
"15/1/26/open-with-option-for-unscheduled-leave-or-unscheduled-telework_638/"">open with option for unscheduled leave or unscheduled telework</a>",15/1/26/open-with-option-for-unscheduled-leave-or-unscheduled-telework_638/,1/26/2015,FALSE
"15/1/27/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_642/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",15/1/27/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_642/,1/27/2015,FALSE
"15/2/16/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_647/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",15/2/16/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_647/,2/17/2015,FALSE
"15/2/17/open-with-option-for-unscheduled-leave-or-unscheduled-telework_650/"">open with option for unscheduled leave or unscheduled telework</a>",15/2/17/open-with-option-for-unscheduled-leave-or-unscheduled-telework_650/,2/18/2015,FALSE
"15/2/26/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_655/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",15/2/26/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_655/,2/16/2015,FALSE
"15/3/2/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_660/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",15/3/2/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_660/,3/2/2015,FALSE
"15/3/3/open-with-option-for-unscheduled-leave-or-unscheduled-telework_664/"">open with option for unscheduled leave or unscheduled telework</a>",15/3/3/open-with-option-for-unscheduled-leave-or-unscheduled-telework_664/,3/3/2015,FALSE
"15/3/5/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_669/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",15/3/5/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_669/,3/5/2015,FALSE
"15/3/6/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_674/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",15/3/6/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_674/,3/6/2015,FALSE
"16/1/21/open---with-option-for-unscheduled-leave-or-unscheduled-telework-4-hours-staggered-early-departure---employees-must-depart-no-later-than-1200-pm-at-w_681/"">open - with option for unscheduled leave or unscheduled telework. 4 hours staggered early departure - employees must depart no later than 12:00 pm at which time federal offices are closed</a>",16/1/21/open---with-option-for-unscheduled-leave-or-unscheduled-telework-4-hours-staggered-early-departure---employees-must-depart-no-later-than-1200-pm-at-w_681/,1/22/2016,FALSE
"16/1/22/federal-offices-in-the-washington-dc-area-remain-closed_687/"">federal offices in the washington, dc, area remain closed.</a>",16/1/22/federal-offices-in-the-washington-dc-area-remain-closed_687/,1/23/2016,FALSE
"16/1/24/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_692/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",16/1/24/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_692/,1/25/2016,FALSE
"16/1/25/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_698/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",16/1/25/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_698/,1/26/2016,FALSE
"16/1/26/open---3-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_703/"">open - 3 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",16/1/26/open---3-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_703/,1/27/2016,FALSE
"16/1/27/open---3-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_710/"">open - 3 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",16/1/27/open---3-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_710/,1/28/2016,FALSE
"16/1/28/open-with-option-for-unscheduled-leave-or-unscheduled-telework_715/"">open with option for unscheduled leave or unscheduled telework</a>",16/1/28/open-with-option-for-unscheduled-leave-or-unscheduled-telework_715/,1/29/2016,FALSE
"16/2/9/open-with-option-for-unscheduled-leave-or-unscheduled-telework_721/"">open with option for unscheduled leave or unscheduled telework</a>",16/2/9/open-with-option-for-unscheduled-leave-or-unscheduled-telework_721/,2/9/2016,FALSE
"16/2/16/open---3-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_726/"">open - 3 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",16/2/16/open---3-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_726/,2/16/2016,FALSE
"16/3/15/open-with-option-for-unscheduled-leave-or-unscheduled-telework_730/"">open with option for unscheduled leave or unscheduled telework</a>",16/3/15/open-with-option-for-unscheduled-leave-or-unscheduled-telework_730/,3/16/2016,FALSE
"17/3/14/open_742/"">open</a>",17/3/14/open_742/,3/15/2017,FALSE
"17/3/14/open---3-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_737/"">open - 3 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",17/3/14/open---3-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_737/,3/14/2017,FALSE
"18/1/4/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_748/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",18/1/4/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_748/,1/4/2018,FALSE
"18/1/20/due-to-a-lapse-in-appropriations-federal-government-operations-vary-by-agency_761/"">due to a lapse in appropriations, federal government operations vary by agency.</a>",18/1/20/due-to-a-lapse-in-appropriations-federal-government-operations-vary-by-agency_761/,1/20/2018,FALSE
"18/1/22/open_772/"">open</a>",18/1/22/open_772/,1/23/2018,FALSE
"18/2/7/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_785/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",18/2/7/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_785/,2/7/2018,FALSE
"18/2/9/open_799/"">open</a>",18/2/9/open_799/,2/9/2018,FALSE
"18/2/9/due-to-a-lapse-in-appropriations-federal-government-operations-vary-by-agency_796/"">due to a lapse in appropriations, federal government operations vary by agency.</a>",18/2/9/due-to-a-lapse-in-appropriations-federal-government-operations-vary-by-agency_796/,2/9/2018,TRUE
"18/3/2/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_812/"">federal offices are closed - emergency and telework-ready employees must follow their agency's policies</a>",18/3/2/federal-offices-are-closed---emergency-and-telework-ready-employees-must-follow-their-agencys-policies_812/,3/2/2018,FALSE
"18/3/21/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_822/"">open - 2 hours delayed arrival - with option for unscheduled leave or unscheduled telework</a>",18/3/21/open---2-hours-delayed-arrival---with-option-for-unscheduled-leave-or-unscheduled-telework_822/,3/21/2018,FALSE
